core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_y,hard_r_networth,hard_r_kills,hard_r_deaths,hard_support_r_x,hard_support_r_y,hard_support_r_networth,hard_support_r_kills,hard_support_r_deaths,support_r_x,support_r_y,support_r_networth,support_r_kills,support_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,hard_support_d_x,hard_support_d_y,hard_support_d_networth,hard_support_d_kills,hard_support_d_deaths,support_d_x,support_d_y,support_d_networth,support_d_kills,support_d_deaths,bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,label
169.63916,82.30005,763.0,0.0,0.0,120.11572,120.816895,763.0,0.0,0.0,79.76782,163.15454,763.0,0.0,0.0,93.78345,164.5481,733.0,0.0,0.0,169.3606,87.230225,713.0,0.0,0.0,83.221436,171.41943,683.0,0.0,0.0,124.65845,127.158936,683.0,0.0,0.0,177.77417,103.7146,683.0,0.0,0.0,86.43555,156.62427,633.0,0.0,0.0,85.055664,151.67822,633.0,0.0,0.0,0,118.981202,39.79947278345357,132.8645266,33.32161121476733,7050,0,0,0,0,5,7,3735,3315,420,420,farm
177.28906,98.61255,967.0,0.0,0.0,124.96875,122.708496,845.0,0.0,0.0,78.135254,163.04614,823.0,0.0,1.0,94.36328,165.20264,786.0,0.0,0.0,169.22754,93.21924,758.0,0.0,0.0,86.13623,167.573,1146.0,1.0,0.0,123.946045,127.14502,805.0,0.0,0.0,176.32495,102.194336,698.0,0.0,0.0,168.61084,94.07715,673.0,0.0,0.0,87.61279,156.62183,673.0,0.0,0.0,1,128.6614739,41.01020734029237,129.0400402,31.456194466640344,8174,1,1,0,0,5,9,4179,3995,184,184,gang
173.73438,90.85742,1167.0,0.0,0.0,120.861084,122.07617,852.0,0.0,0.0,93.260254,164.25024,911.0,0.0,1.0,91.28125,167.6643,801.0,0.0,0.0,175.05469,95.16113,743.0,0.0,0.0,88.73169,173.88623,1248.0,1.0,0.0,126.93042,125.416016,927.0,0.0,0.0,174.6709,97.03784,755.0,0.0,0.0,161.77124,92.0022,688.0,0.0,0.0,85.76538,168.02051,678.0,0.0,0.0,2,129.2061288,38.79130405078662,129.6372056,35.468213971376215,8770,1,1,0,0,5,10,4474,4296,178,178,farm
177.81396,89.124756,1293.0,0.0,0.0,124.7251,123.1626,954.0,0.0,0.0,96.53589,156.12427,1010.0,0.0,1.0,82.02295,148.4292,826.0,0.0,1.0,155.7085,88.869385,678.0,0.0,0.0,89.34204,166.97095,1575.0,2.0,0.0,123.836426,123.015625,1048.0,0.0,0.0,177.1936,116.9939,806.0,0.0,0.0,168.28174,110.19531,703.0,0.0,0.0,94.00586,161.39087,745.0,0.0,0.0,3,128.9466066,38.10050873082179,128.4276866,28.614405934964896,9638,2,2,0,0,7,9,4761,4877,-116,116,farm
168.4519,94.08423,1411.0,0.0,0.0,118.27222,122.0105,1176.0,0.0,0.0,77.34863,132.54126,1005.0,0.0,1.0,97.09985,161.97217,871.0,0.0,1.0,167.09277,91.13818,723.0,0.0,0.0,88.63257,165.86108,1674.0,2.0,0.0,111.22266,124.348145,998.0,0.0,0.0,175.63745,110.3064,997.0,0.0,0.0,173.88062,106.10474,782.0,0.0,0.0,80.22046,133.19775,790.0,0.0,0.0,4,125.785913,41.12191276227582,124.1564455,25.469435983382603,10427,2,2,0,0,8,10,5186,5241,-55,55,farm
185.32178,90.29175,1882.0,2.0,0.0,108.83838,138.81128,1258.0,0.0,0.0,72.03516,163.16235,1322.0,0.0,1.0,83.76001,164.44238,886.0,0.0,1.0,169.08936,91.910645,815.0,0.0,1.0,83.80786,172.65137,1659.0,2.0,0.0,111.221924,144.3064,1043.0,0.0,0.0,173.26196,98.08887,1252.0,1.0,1.0,168.66797,92.392334,891.0,0.0,1.0,91.12695,169.36328,805.0,0.0,0.0,5,124.7131354,44.24564584522181,132.54206589999998,35.48476631026045,11813,5,5,0,0,8,7,6163,5650,513,513,farm
176.65723,102.041016,2006.0,2.0,0.0,132.75146,139.73291,1447.0,0.0,0.0,96.176025,163.48633,1425.0,0.0,1.0,105.17163,168.82324,1017.0,0.0,1.0,171.84692,92.58252,910.0,0.0,1.0,93.184326,168.10718,1982.0,2.0,0.0,126.461426,138.2854,988.0,0.0,0.0,179.45532,102.62305,1370.0,1.0,1.0,176.94043,100.57422,906.0,0.0,1.0,98.437744,177.22314,898.0,0.0,0.0,6,135.7082511,37.093911298915806,135.3479006,33.30879743268595,12949,5,5,0,0,8,10,6805,6144,661,661,farm
168.22485,107.823,2217.0,2.0,0.0,126.47876,127.11987,1740.0,1.0,0.0,80.934814,155.26465,1637.0,0.0,1.0,117.458984,137.448,1127.0,0.0,1.0,168.92725,104.0708,1065.0,1.0,1.0,85.80542,162.09912,2255.0,2.0,0.0,136.83691,125.02588,1008.0,0.0,1.0,178.0852,116.045654,1513.0,1.0,1.0,163.10474,164.03516,917.0,0.0,2.0,128.72437,136.01123,828.0,0.0,0.0,7,135.4581298,34.424262394650874,133.4943364,21.57275909436293,14307,7,7,0,0,9,10,7786,6521,1265,1265,farm
175.0979,102.058105,2316.0,2.0,0.0,118.92822,120.62329,1820.0,1.0,0.0,98.75342,175.25708,1850.0,0.0,1.0,99.29175,175.12305,1142.0,0.0,1.0,163.20435,82.009766,1110.0,1.0,1.0,86.82568,175.6726,2460.0,2.0,0.0,127.328125,126.87793,1096.0,0.0,1.0,176.49634,105.93335,1706.0,1.0,1.0,112.26465,126.62915,962.0,0.0,2.0,106.92554,166.69849,908.0,0.0,0.0,8,126.5115975,33.22755452302846,135.68828109999998,34.90549369490044,15370,7,7,0,0,9,9,8238,7132,1106,1106,farm
175.60034,93.433105,2396.0,2.0,0.0,120.90674,120.91626,1899.0,1.0,0.0,88.52368,134.22534,2015.0,0.0,1.0,190.71143,88.26367,1206.0,0.0,1.0,167.68774,95.23584,1172.0,1.0,1.0,80.84204,171.43115,2702.0,2.0,0.0,138.4187,153.68188,1310.0,0.0,1.0,171.44214,100.27954,1789.0,1.0,1.0,72.727295,162.96143,1007.0,0.0,2.0,64.85913,157.79858,997.0,0.0,0.0,9,127.1719235,47.88522505782238,127.8226795,32.249824716407936,16493,7,7,0,0,10,6,8688,7805,883,883,gang
