bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,hard_r_x,hard_r_y,hard_r_networth,hard_r_kills,hard_r_deaths,h_sup_r_x,h_sup_r_y,h_sup_r_networth,h_sup_r_kills,h_sup_r_deaths,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_x.1,mid_d_x.2,mid_d_x.3,mid_d_y,mid_d_y.1,mid_d_y.2,mid_d_y.3,mid_d_networth,mid_d_networth.1,mid_d_networth.2,mid_d_networth.3,mid_d_kills,mid_d_kills.1,mid_d_kills.2,mid_d_kills.3,mid_d_deaths,mid_d_deaths.1,mid_d_deaths.2,mid_d_deaths.3,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label
0,126.790235,42.67725573720216,127.797851,35.764955899855444,7080,0,0,0,0,5,6,3715,3365,350,350,168.59814,81.369385,763.0,0.0,0.0,78.38379,160.46997,763.0,0.0,0.0,84.737305,161.0459,763.0,0.0,0.0,169.18555,88.68262,663.0,0.0,0.0,83.6062,171.77734,683.0,0.0,0.0,122.301025,128.14209,122.301025,128.14209,124.03613,126.56494,124.03613,126.56494,763.0,683.0,763.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.48438,95.31445,683.0,0.0,0.0,173.97437,98.563965,683.0,0.0,0.0,81.4895,170.15381,633.0,0.0,0.0,farm
1,123.7280519,36.27210917362404,124.7265875,37.41321671996967,7653,0,0,0,0,7,9,4092,3561,531,531,166.6062,83.13623,966.0,0.0,0.0,80.47363,162.90967,883.0,0.0,0.0,93.62378,162.80542,728.0,0.0,0.0,160.59082,83.74829,678.0,0.0,0.0,79.214355,168.28589,840.0,0.0,0.0,121.39844,118.8457,121.39844,118.8457,120.66406,127.60034,120.66406,127.60034,837.0,648.0,837.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.64209,87.10181,702.0,0.0,0.0,162.9961,87.154785,693.0,0.0,0.0,92.889404,163.85938,678.0,0.0,0.0,farm
2,125.843262,41.681128042038885,126.9928946,36.12855844980561,8111,0,0,0,0,8,7,4307,3804,503,503,165.06494,81.48657,1011.0,0.0,0.0,77.2605,158.69507,994.0,0.0,0.0,82.96631,161.25317,743.0,0.0,0.0,168.31323,82.08154,663.0,0.0,0.0,80.93091,168.80713,920.0,0.0,0.0,126.8501,131.15308,126.8501,131.15308,127.71924,131.54224,127.71924,131.54224,896.0,846.0,896.0,846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.31372,103.80786,717.0,0.0,0.0,165.48901,87.434326,708.0,0.0,0.0,83.09082,167.1018,613.0,0.0,0.0,farm
3,127.7097914,41.12439317114067,131.3344482,29.98687784154599,8967,0,0,0,0,8,9,4659,4308,351,351,173.69385,99.975586,1148.0,0.0,0.0,80.838135,159.94946,1045.0,0.0,0.0,87.504395,161.27051,758.0,0.0,0.0,171.15552,97.51245,643.0,0.0,0.0,81.97119,172.71289,1111.0,0.0,0.0,121.94849,125.25952,121.94849,125.25952,122.576416,129.31177,122.576416,129.31177,1065.0,937.0,1065.0,937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.8418,103.39404,909.0,0.0,0.0,170.00977,104.43213,693.0,0.0,0.0,90.875244,162.20923,658.0,0.0,0.0,farm
4,130.4910645,38.69123608979992,121.518163,34.137037183349065,9533,0,0,0,0,8,10,5032,4501,531,531,168.7727,80.44946,1216.0,0.0,0.0,78.755615,149.34277,1129.0,0.0,0.0,96.75464,154.31152,803.0,0.0,0.0,168.57446,82.94678,658.0,0.0,0.0,92.70459,161.00195,1244.0,0.0,0.0,125.41016,125.68921,125.41016,125.68921,124.11084,131.64307,124.11084,131.64307,1226.0,1138.0,1226.0,1138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.95752,88.5625,888.0,0.0,0.0,175.73584,84.5979,608.0,0.0,0.0,96.55591,158.21484,623.0,0.0,0.0,farm
5,126.4962649,48.007535715412,118.81828620000002,33.5121062773971,10440,1,1,0,0,9,7,5505,4935,570,570,177.31226,91.489746,1381.0,0.0,0.0,81.7937,149.5752,1333.0,0.0,0.0,74.875244,78.49902,783.0,0.0,1.0,176.09058,89.59326,567.0,0.0,0.0,80.793945,171.50732,1414.0,0.0,0.0,122.60498,125.99951,122.60498,125.99951,121.798096,126.20923,121.798096,126.20923,1441.0,1177.0,1441.0,1177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.89233,93.39136,883.0,0.0,0.0,179.82422,101.09766,528.0,0.0,0.0,67.77588,165.02197,933.0,1.0,0.0,farm
6,126.9555415,40.051148304651846,128.5990966,35.694686225376145,11567,1,1,0,0,11,7,6144,5423,721,721,169.47974,82.40625,1533.0,0.0,0.0,80.147705,166.81299,1555.0,0.0,0.0,86.06201,161.81665,808.0,0.0,1.0,169.26025,85.42529,532.0,0.0,0.0,84.542725,169.15088,1721.0,0.0,0.0,122.213135,128.6499,122.213135,128.6499,125.64014,126.656006,125.64014,126.656006,1716.0,1299.0,1716.0,1299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.22607,105.81909,962.0,0.0,0.0,163.38794,94.27539,493.0,0.0,0.0,89.58594,167.98828,948.0,1.0,0.0,farm
7,129.041162,41.438860229145305,131.483741,28.628135383370854,12844,2,2,0,0,12,10,7034,5810,1224,1224,176.51709,99.69238,1771.0,0.0,0.0,81.79248,149.99048,1651.0,0.0,0.0,93.15259,162.93555,823.0,0.0,1.0,175.69165,97.94263,874.0,1.0,0.0,83.20947,162.07446,1919.0,0.0,0.0,128.7461,117.93359,128.7461,117.93359,123.05054,135.7898,123.05054,135.7898,1915.0,1379.0,1915.0,1379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.25806,102.62378,1028.0,0.0,1.0,171.83276,109.60791,428.0,0.0,0.0,89.27783,171.12988,1056.0,1.0,0.0,farm
8,128.7040778,37.13565135656164,125.1074449,37.084753808817176,13869,2,2,0,0,12,10,7548,6321,1227,1227,157.67432,80.048584,1891.0,0.0,0.0,83.298584,152.7976,1865.0,0.0,0.0,92.98389,161.31519,838.0,0.0,1.0,168.50073,82.08276,869.0,1.0,0.0,90.20703,167.69604,2000.0,0.0,0.0,125.865234,129.57642,125.865234,129.57642,123.0603,128.13208,123.0603,128.13208,2085.0,1508.0,2085.0,1508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.36133,90.25342,1231.0,0.0,1.0,170.28418,92.491455,481.0,0.0,0.0,93.28906,173.19702,1101.0,1.0,0.0,farm
9,131.616529,36.76364516793604,127.082763,33.10155125984247,15022,2,2,0,0,12,9,8039,6983,1056,1056,169.43091,83.95044,1925.0,0.0,0.0,93.552,160.3872,1945.0,0.0,0.0,85.80298,151.29053,918.0,0.0,1.0,164.46802,89.68994,914.0,1.0,0.0,90.711426,166.33032,2261.0,0.0,0.0,123.868164,127.56738,123.868164,127.56738,124.24292,127.29224,124.24292,127.29224,2337.0,1553.0,2337.0,1553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.33643,83.29321,1399.0,0.0,1.0,159.64551,119.97168,578.0,0.0,0.0,112.78247,164.37915,1192.0,1.0,0.0,farm
