match_id,slot,hero_name,role
2f3e5186da694a8f8e7514d561f5ff4f,0,DragonKnight,core_r
2f3e5186da694a8f8e7514d561f5ff4f,1,AncientApparition,sup_r
2f3e5186da694a8f8e7514d561f5ff4f,2,StormSpirit,mid_r
2f3e5186da694a8f8e7514d561f5ff4f,3,Windrunner,h_sup_r
2f3e5186da694a8f8e7514d561f5ff4f,4,SandKing,hard_r
2f3e5186da694a8f8e7514d561f5ff4f,5,Gyrocopter,core_d
2f3e5186da694a8f8e7514d561f5ff4f,6,Pangolier,mid_d
2f3e5186da694a8f8e7514d561f5ff4f,7,Beastmaster,hard_d
2f3e5186da694a8f8e7514d561f5ff4f,8,Nyx_Assassin,h_sup_d
2f3e5186da694a8f8e7514d561f5ff4f,9,Ringmaster,sup_d
a,0,Jakiro,sup_r
a,1,Enigma,hard_r
a,2,Kunkka,mid_r
a,3,Tusk,hard_r
a,4,Luna,core_r
a,5,Medusa,hard_d
a,6,Tinker,sup_d
a,7,AbyssalUnderlord,core_d
a,8,TemplarAssassin,mid_d
a,9,ShadowShaman,h_sup_d
b,0,Tinker,sup_r
b,1,DarkSeer,hard_r
b,2,PrimalBeast,mid_r
b,3,Tusk,h_sup_r
b,4,Furion,core_r
b,5,TrollWarlord,core_d
b,6,Silencer,sup_d
b,7,Pangolier,mid_d
b,8,Weaver,h_sup_d
b,9,Beastmaster,hard_d
c,0,Morphling,core_r
c,1,SandKing,hard_r
c,2,Tiny,mid_r
c,3,Tinker,h_sup_r
c,4,Mirana,sup_r
c,5,TemplarAssassin,core_d
c,6,Silencer,sup_d
c,7,StormSpirit,mid_d
c,8,BountyHunter,h_sup_d
c,9,Abaddon,hard_d
e,0,Ringmaster,sup_r
e,1,DarkSeer,hard_r
e,2,Batrider,mid_r
e,3,DarkWillow,h_sup_r
e,4,Tiny,core_r
e,5,Sven,core_d
e,6,Kunkka,mid_d
e,7,AbyssalUnderlord,hard_d
e,8,Furion,h_sup_d
e,9,Jakiro,sup_d
f,0,Tiny,core_r
f,1,Obsidian_Destroyer,mid_r
f,2,Tidehunter,hard_r
f,3,Shadow_Demon,h_sup_r
f,4,Furion,sup_r
f,5,Terrorblade,core_d
f,6,DarkSeer,hard_d
f,7,Kunkka,mid_d
f,8,ChaosKnight,h_sup_d
f,9,Oracle,sup_d
g,0,DoomBringer,core_r
g,1,Disruptor,sup_r
g,2,Pangolier,hard_r
g,3,Tusk,h_sup_r
g,4,Lina,mid_d
g,5,Ringmaster,sup_d
g,6,DarkSeer,hard_d
g,7,Tiny,mid_d
g,8,DarkWillow,h_sup_d
g,9,Medusa,core_d
h,0,Terrorblade,core_r
h,1,Sniper,mid_r
h,2,Tidehunter,hard_r
h,3,Windrunner,h_sup_r
h,4,Oracle,sup_r
h,5,Lina,core_d
h,6,Brewmaster,hard_d
h,7,Magnataur,mid_d
h,8,ShadowShaman,h_sup_d
h,9,Naga_Siren,sup_d
i,0,Tiny,core_r
i,1,Slardar,mid_r
i,2,Centaur,hard_r
i,3,Windrunner,h_sup_r
i,4,Oracle,sup_r
i,5,Sven,core_d
i,6,DarkSeer,hard_d
i,7,EmberSpirit,mid_d
i,8,Pudge,h_sup_d
i,9,Chen,sup_d
8358768820,0,Undying,sup_r
8358768820,1,AbyssalUnderlord,hard_r
8358768820,2,Lycan,mid_r
8358768820,3,ShadowShaman,h_sup_r
8358768820,4,Furion,core_r
8358768820,5,Meepo,core_d
8358768820,6,QueenOfPain,mid_d
8358768820,7,Axe,hard_d
8358768820,8,Skywrath_Mage,h_sup_d
8358768820,9,Warlock,sup_d
8359874584,0,Warlock,sup_r
8359874584,1,DarkSeer,hard_r
8359874584,2,Huskar,mid_r
8359874584,3,Tusk,h_sup_r
8359874584,4,DoomBringer,core_r
8359874584,5,Nevermore,core_d
8359874584,6,Bristleback,hard_d
8359874584,7,EmberSpirit,mid_d
8359874584,8,Marci,h_sup_d
8359874584,9,Dawnbreaker,sup_d
8360916524,0,Sven,core_r
8360916524,1,Leshrac,mid_r
8360916524,2,Dawnbreaker,hard_r
8360916524,3,ShadowShaman,h_sup_r
8360916524,4,Disruptor,sup_r
8360916524,5,Medusa,core_d
8360916524,6,DarkSeer,hard_d
8360916524,7,Puck,mid_d
8360916524,8,Slark,h_sup_d
8360916524,9,Pugna,sup_d
8361247591,0,Naga_Siren,sup_r
8361247591,1,Mars,hard_r
8361247591,2,QueenOfPain,mid_r
8361247591,3,ShadowShaman,h_sup_r
8361247591,4,TemplarAssassin,core_r
8361247591,5,Lina,core_d
8361247591,6,Brewmaster,hard_d
8361247591,7,Kunkka,mid_d
8361247591,8,DarkWillow,h_sup_d
8361247591,9,Dawnbreaker,sup_d
