bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_x.1,hard_r_x.2,hard_r_x.3,hard_r_y,hard_r_y.1,hard_r_y.2,hard_r_y.3,hard_r_networth,hard_r_networth.1,hard_r_networth.2,hard_r_networth.3,hard_r_kills,hard_r_kills.1,hard_r_kills.2,hard_r_kills.3,hard_r_deaths,hard_r_deaths.1,hard_r_deaths.2,hard_r_deaths.3,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label
0,132.0541995,38.28078703184031,121.8672115,33.377011254899024,6915,0,0,0,0,4,7,3515,3400,115,115,170.5647,83.14111,723.0,0.0,0.0,125.42993,124.48511,723.0,0.0,0.0,78.46973,157.80493,78.46973,157.80493,157.93774,91.28906,157.93774,91.28906,723.0,723.0,723.0,723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.20288,90.95508,623.0,0.0,0.0,82.23999,170.57715,723.0,0.0,0.0,125.73047,126.81299,673.0,0.0,0.0,176.24927,92.698975,658.0,0.0,0.0,163.1582,113.98584,723.0,0.0,0.0,85.691895,166.78906,623.0,0.0,0.0,farm
1,127.3353024,43.11210929700924,124.7706536,38.78284264465656,7819,0,0,0,0,5,6,3812,4007,-195,195,174.70068,82.12866,805.0,0.0,0.0,129.31299,129.1001,768.0,0.0,0.0,79.153564,178.36548,79.153564,178.36548,155.23071,77.076416,155.23071,77.076416,768.0,768.0,768.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.9231,82.2832,703.0,0.0,0.0,79.95752,160.26416,968.0,0.0,0.0,129.75098,130.1001,864.0,0.0,0.0,73.01196,181.65356,701.0,0.0,0.0,161.8081,92.00879,781.0,0.0,0.0,94.36865,157.86084,693.0,0.0,0.0,gang
2,132.945751,43.37296119879539,118.0411139,23.94758822330404,8677,0,0,0,0,6,7,4183,4494,-311,311,151.40454,77.495605,885.0,0.0,0.0,122.3667,122.94507,893.0,0.0,0.0,74.23193,177.05786,74.23193,177.05786,141.75171,98.75342,141.75171,98.75342,844.0,813.0,844.0,813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.74536,100.8457,748.0,0.0,0.0,77.15283,149.42969,1108.0,0.0,0.0,125.53223,126.33496,1029.0,0.0,0.0,178.29712,105.12842,746.0,0.0,0.0,169.91406,108.757324,826.0,0.0,0.0,79.75488,148.96924,785.0,0.0,0.0,farm
3,126.8872076,43.25716938596865,125.1898195,32.559381970610545,9462,0,0,0,0,8,7,4576,4886,-310,310,166.08936,82.789795,1133.0,0.0,0.0,127.144775,125.7771,1021.0,0.0,0.0,78.04248,78.79541,78.04248,78.79541,148.41187,151.57202,148.41187,151.57202,833.0,846.0,833.0,846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.23047,83.855225,743.0,0.0,0.0,81.272705,169.95752,1227.0,0.0,0.0,123.82007,124.40869,1155.0,0.0,0.0,189.42993,114.526855,858.0,0.0,0.0,154.14795,88.68945,781.0,0.0,0.0,91.898926,161.90967,865.0,0.0,0.0,farm
4,129.808789,44.18930943560651,123.97688,30.66333434305539,10341,0,0,0,0,8,7,4928,5413,-485,485,178.31592,88.62549,1239.0,0.0,0.0,125.66162,126.57837,1222.0,0.0,0.0,79.15088,96.28003,79.15088,96.28003,154.44385,156.31274,154.44385,156.31274,878.0,891.0,878.0,891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.40698,90.30322,698.0,0.0,0.0,77.986084,156.64844,1396.0,0.0,0.0,127.0188,125.84717,1268.0,0.0,0.0,177.72144,94.44824,942.0,0.0,0.0,180.2622,90.4624,826.0,0.0,0.0,83.283936,156.09888,981.0,0.0,0.0,farm
5,127.7845945,35.974759441377046,120.5773924,32.82561502644469,10814,0,0,0,0,9,9,5116,5698,-582,582,167.0835,83.70044,1284.0,0.0,0.0,128.35815,122.42871,1340.0,0.0,0.0,80.57349,75.424805,80.57349,75.424805,128.93872,158.09863,128.93872,158.09863,923.0,936.0,923.0,936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.63574,86.968994,633.0,0.0,0.0,94.35376,168.81787,1441.0,0.0,0.0,125.68237,125.39746,1435.0,0.0,0.0,174.25586,87.19922,1068.0,0.0,0.0,154.85913,88.51221,778.0,0.0,0.0,117.61914,155.71167,976.0,0.0,0.0,farm
6,127.947315,41.38572170318809,123.469848,35.424765824933765,11881,0,0,0,0,9,7,5494,6387,-893,893,170.5586,79.5083,1497.0,0.0,0.0,125.063965,123.38208,1280.0,0.0,0.0,79.258545,96.73169,79.258545,96.73169,154.55566,161.22412,154.55566,161.22412,1137.0,997.0,1137.0,997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.33911,85.6145,583.0,0.0,0.0,79.23828,164.05249,1664.0,0.0,0.0,127.53052,126.18359,1555.0,0.0,0.0,169.95825,90.10913,1324.0,0.0,0.0,181.1731,87.85425,823.0,0.0,0.0,84.62109,162.21436,1021.0,0.0,0.0,farm
7,124.77312,34.03564369896718,122.11875,29.007577148167247,12868,0,0,0,0,10,10,5962,6906,-944,944,169.14575,82.45386,1618.0,0.0,0.0,123.2207,126.006836,1433.0,0.0,0.0,79.21753,109.82373,79.21753,109.82373,147.66748,146.96411,147.66748,146.96411,1339.0,900.0,1339.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.15625,105.601074,672.0,0.0,0.0,78.15015,153.71997,1756.0,0.0,0.0,126.2041,127.94409,1670.0,0.0,0.0,169.1726,88.15967,1522.0,0.0,0.0,156.7649,87.75952,862.0,0.0,0.0,96.87549,154.91089,1096.0,0.0,0.0,farm
8,121.66557659999998,40.29366159621447,123.18830640000002,24.836763018348083,13967,0,0,0,0,10,7,6401,7566,-1165,1165,174.12524,85.45581,1745.0,0.0,0.0,120.42212,123.021484,1617.0,0.0,0.0,67.860596,84.15527,67.860596,84.15527,140.46973,148.59448,140.46973,148.59448,1427.0,895.0,1427.0,895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.3689,99.34302,717.0,0.0,0.0,62.41455,144.62305,1967.0,0.0,0.0,124.17505,125.69458,1755.0,0.0,0.0,175.05835,88.80591,1734.0,0.0,0.0,137.12012,121.6228,953.0,0.0,0.0,118.95557,154.2522,1157.0,0.0,0.0,gang
9,124.917626,41.58343905253528,129.71066960000002,40.23118081248442,15134,0,0,0,0,10,5,6857,8277,-1420,1420,170.09766,81.22656,1954.0,0.0,0.0,117.1687,119.3042,1742.0,0.0,0.0,72.69873,85.28418,72.69873,85.28418,163.56104,163.61475,163.56104,163.61475,1509.0,890.0,1509.0,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.67993,77.80664,762.0,0.0,0.0,87.40112,178.02173,2092.0,0.0,0.0,122.82007,122.523926,2020.0,0.0,0.0,168.9226,89.42822,1983.0,0.0,0.0,163.64062,117.49365,994.0,0.0,0.0,84.46265,184.12598,1188.0,0.0,0.0,farm
