bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_y,hard_r_networth,hard_r_kills,hard_r_deaths,h_sup_r_x,h_sup_r_y,h_sup_r_networth,h_sup_r_kills,h_sup_r_deaths,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label
0,116.6521486,41.00814663903276,132.645898,35.74839885705558,7030,0,0,0,0,6,6,3515,3515,0,0,167.79712,83.13501,723.0,0.0,0.0,123.53198,123.71533,723.0,0.0,0.0,79.10449,156.0227,723.0,0.0,0.0,90.481445,138.81738,723.0,0.0,0.0,166.93335,89.934326,623.0,0.0,0.0,82.79663,171.34229,723.0,0.0,0.0,123.49634,125.89331,723.0,0.0,0.0,176.42432,92.611084,723.0,0.0,0.0,71.203125,183.45068,723.0,0.0,0.0,84.752686,161.53687,623.0,0.0,0.0,farm
1,132.03899,39.406227965933766,126.5142576,34.27116922308602,7688,0,0,0,0,7,8,3826,3862,-36,36,174.70068,90.0957,811.0,0.0,0.0,118.4043,121.835205,841.0,0.0,0.0,81.791016,154.43823,768.0,0.0,0.0,104.906006,162.89502,768.0,0.0,0.0,170.80884,91.82422,638.0,0.0,0.0,85.979004,171.84546,842.0,0.0,0.0,121.54541,124.485596,888.0,0.0,0.0,176.70508,93.917725,776.0,0.0,0.0,179.84473,89.52734,688.0,0.0,0.0,105.704834,164.27808,668.0,0.0,0.0,farm
2,126.0445308,43.36150773988713,126.3886955,30.88217211755788,8584,0,0,0,0,7,10,4185,4399,-214,214,174.36646,92.13794,1035.0,0.0,0.0,124.483154,124.76245,886.0,0.0,0.0,81.03784,148.00122,858.0,0.0,0.0,76.78955,156.50635,753.0,0.0,0.0,164.05615,87.26318,653.0,0.0,0.0,80.68384,165.47412,1014.0,0.0,0.0,126.33984,126.87573,1091.0,0.0,0.0,178.34375,97.873535,861.0,0.0,0.0,171.28906,100.19287,750.0,0.0,0.0,83.055664,164.79956,683.0,0.0,0.0,farm
3,131.469434,38.90801882413712,127.618358,33.71488185292028,8975,0,0,0,0,8,8,4340,4635,-295,295,176.3711,87.37109,1156.0,0.0,0.0,123.048096,118.86743,856.0,0.0,0.0,88.48682,158.9768,912.0,0.0,0.0,102.31616,162.41162,718.0,0.0,0.0,165.61035,90.71167,698.0,0.0,0.0,87.764404,170.64111,1075.0,0.0,0.0,125.17432,126.2478,1143.0,0.0,0.0,178.33032,96.49219,950.0,0.0,0.0,175.73608,99.72388,739.0,0.0,0.0,91.85669,164.73999,728.0,0.0,0.0,farm
4,126.8834226,42.1687834249936,121.2461424,31.85183500451482,10027,0,0,0,0,8,10,4832,5195,-363,363,171.92969,82.92969,1243.0,0.0,0.0,126.975586,122.14087,989.0,0.0,0.0,77.98535,150.27563,1076.0,0.0,0.0,85.473145,151.61646,811.0,0.0,0.0,165.57617,84.45947,713.0,0.0,0.0,78.366455,155.25488,1241.0,0.0,0.0,125.40991,127.78613,1314.0,0.0,0.0,173.30713,89.555664,1108.0,0.0,0.0,175.552,90.14624,789.0,0.0,0.0,88.25879,158.29639,743.0,0.0,0.0,farm
5,127.232398,43.33070369487054,122.8040296,30.2614957675768,11170,0,0,0,0,10,9,5456,5714,-258,258,180.9917,89.37695,1358.0,0.0,0.0,122.150635,120.992676,1085.0,0.0,0.0,78.83765,148.43018,1329.0,0.0,0.0,83.64404,147.59766,939.0,0.0,0.0,173.57007,87.24951,745.0,0.0,0.0,77.40869,156.13135,1414.0,0.0,0.0,122.417725,124.30957,1483.0,0.0,0.0,172.37622,94.24097,1264.0,0.0,0.0,169.37671,94.09717,766.0,0.0,0.0,91.55054,165.61426,787.0,0.0,0.0,farm
6,130.6072999,38.72015691360885,128.6802492,31.46972872521469,11863,0,0,0,0,11,9,5714,6149,-435,435,174.73169,95.89575,1487.0,0.0,0.0,116.872314,122.648926,1104.0,0.0,0.0,84.029785,149.47607,1429.0,0.0,0.0,110.71875,159.37817,984.0,0.0,0.0,162.03003,95.94141,710.0,0.0,0.0,86.65161,171.93726,1583.0,0.0,0.0,123.19556,124.59668,1559.0,0.0,0.0,176.14551,98.134766,1394.0,0.0,0.0,178.79956,99.26123,781.0,0.0,0.0,92.89819,169.53223,832.0,0.0,0.0,farm
7,134.525757,29.54407597788394,124.9172372,25.719549058801583,13027,0,0,0,0,11,9,6109,6918,-809,809,175.17847,89.791016,1600.0,0.0,0.0,123.60718,122.01294,1236.0,0.0,0.0,94.08838,165.52222,1539.0,0.0,0.0,131.31201,109.24951,979.0,0.0,0.0,146.03296,114.83179,755.0,0.0,0.0,92.20117,170.95215,1850.0,0.0,0.0,138.30542,113.783936,1694.0,0.0,0.0,179.10913,108.26587,1679.0,0.0,0.0,148.61694,117.82544,796.0,0.0,0.0,116.80591,136.9375,899.0,0.0,0.0,gang
8,133.2880615,27.499419980865664,122.302049,24.2726932119484,14612,2,2,0,0,11,9,6956,7656,-700,700,174.59058,84.78735,1786.0,0.0,0.0,120.876465,117.91333,1332.0,0.0,1.0,95.49512,158.8186,1704.0,0.0,0.0,131.3789,115.78906,1008.0,0.0,0.0,139.06421,111.69287,1126.0,1.0,0.0,91.93579,167.1958,2087.0,0.0,0.0,136.32568,117.84985,1802.0,0.0,1.0,174.87598,103.56445,1763.0,0.0,0.0,138.06494,123.31055,1005.0,1.0,0.0,130.27295,122.09863,999.0,0.0,0.0,def
9,127.761475,38.76696796086192,121.111964,17.66594254001134,15877,2,2,0,0,13,10,7592,8285,-693,693,176.61035,93.43213,1993.0,0.0,0.0,124.927,124.54492,1446.0,0.0,1.0,81.28784,129.45874,1830.0,0.0,0.0,101.40259,129.02393,1220.0,0.0,0.0,173.81323,96.61182,1103.0,1.0,0.0,86.95337,146.34546,2340.0,0.0,0.0,128.00757,128.06616,2039.0,0.0,1.0,176.1377,101.22998,1812.0,0.0,0.0,144.11133,128.5354,1050.0,1.0,0.0,84.36377,133.8711,1044.0,0.0,0.0,farm
