bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_y,hard_r_networth,hard_r_kills,hard_r_deaths,h_sup_r_x,h_sup_r_y,h_sup_r_networth,h_sup_r_kills,h_sup_r_deaths,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label,win,time
0,123.1110361,27.242302587110547,113.4854258,40.97658911460485,6760,0,0,0,0,6,8,3085,3675,-590,590,129.64648,75.2793,683.0,0.0,0.0,124.91382,128.4231,683.0,0.0,0.0,81.20557,165.04688,683.0,0.0,0.0,97.302246,152.07568,543.0,0.0,0.0,144.9375,91.532715,493.0,0.0,0.0,82.301025,173.08228,763.0,0.0,0.0,130.61646,129.30664,763.0,0.0,0.0,159.20801,82.37695,763.0,0.0,0.0,133.21094,73.735596,763.0,0.0,0.0,147.76831,63.995117,623.0,0.0,0.0,gang,0,00:00:00
1,128.408129,41.744056436093366,129.68579,31.729655820950555,7647,0,0,0,0,8,9,3614,4033,-419,419,178.04834,98.26758,805.0,0.0,0.0,124.67163,122.42236,796.0,0.0,0.0,79.04834,162.68555,842.0,0.0,0.0,85.504395,157.65576,633.0,0.0,0.0,175.95752,96.648926,538.0,0.0,0.0,82.293945,170.93066,932.0,0.0,0.0,127.98389,127.53076,917.0,0.0,0.0,176.88647,102.954834,808.0,0.0,0.0,159.8977,92.57153,758.0,0.0,0.0,93.78906,165.18994,618.0,0.0,0.0,farm,0,00:00:30
2,127.8574701,44.347817168870336,133.538916,28.84753222225284,8660,0,0,0,0,8,8,4137,4523,-386,386,176.92358,97.6001,1014.0,0.0,0.0,123.15527,125.81958,961.0,0.0,0.0,79.2124,160.95068,921.0,0.0,0.0,84.637695,157.71436,723.0,0.0,0.0,169.68018,90.8916,518.0,0.0,0.0,80.184326,171.23975,1012.0,0.0,0.0,127.41846,126.4187,1072.0,0.0,0.0,177.50195,119.67383,973.0,0.0,0.0,177.58252,118.48364,803.0,0.0,0.0,82.27832,166.59692,663.0,0.0,0.0,farm,0,00:01:00
3,126.3409185,40.38686139943672,132.0264894,30.934648911565723,9525,0,0,0,0,9,10,4545,4980,-435,435,168.9126,96.75049,1117.0,0.0,0.0,119.25903,121.32178,1029.0,0.0,0.0,81.02515,165.40454,1118.0,0.0,0.0,86.981445,160.66357,768.0,0.0,0.0,166.43628,90.750244,513.0,0.0,0.0,85.86084,170.20215,1076.0,0.0,0.0,115.48682,134.9834,1223.0,0.0,0.0,177.3186,116.36719,1106.0,0.0,0.0,171.10962,101.05371,883.0,0.0,0.0,91.0188,162.76782,692.0,0.0,0.0,farm,0,00:01:30
4,127.3933601,40.39105046686584,130.152564,34.65913650131014,10286,0,0,0,0,9,8,4893,5393,-500,500,176.39551,94.83984,1281.0,0.0,0.0,123.74756,125.84497,1151.0,0.0,0.0,79.1062,164.15845,1180.0,0.0,0.0,93.302246,163.54468,723.0,0.0,0.0,165.46582,88.06641,558.0,0.0,0.0,79.17041,169.9292,1238.0,0.0,0.0,126.113525,128.36987,1353.0,0.0,0.0,174.3335,100.59839,1237.0,0.0,0.0,165.52222,94.18286,928.0,0.0,0.0,90.77661,171.99097,637.0,0.0,0.0,farm,0,00:02:00
5,130.4674798,42.107266921433535,129.9397704,34.69468950978256,11532,0,0,0,0,9,9,5608,5924,-316,316,176.44238,92.021484,1482.0,0.0,0.0,122.72119,121.56445,1344.0,0.0,0.0,105.36597,170.26392,1301.0,0.0,0.0,83.96997,163.95776,848.0,0.0,0.0,173.18799,90.66797,633.0,0.0,0.0,93.819824,173.573,1399.0,0.0,0.0,124.329834,125.65259,1568.0,0.0,0.0,178.09692,95.313965,1426.0,0.0,0.0,175.4104,102.714355,934.0,0.0,0.0,71.33032,163.66821,597.0,0.0,0.0,farm,0,00:02:30
6,136.7177496,35.40358143336545,131.366407,32.48443070367815,12650,0,0,0,0,10,10,6220,6430,-210,210,177.29785,95.71655,1599.0,0.0,0.0,125.13452,124.22217,1544.0,0.0,0.0,107.15552,167.87305,1459.0,0.0,0.0,104.96924,165.62842,894.0,0.0,0.0,172.32788,97.22217,724.0,0.0,0.0,91.853516,165.1145,1684.0,0.0,0.0,125.78931,126.58765,1695.0,0.0,0.0,178.32568,98.20947,1510.0,0.0,0.0,176.99805,103.46973,929.0,0.0,0.0,107.32593,169.62036,612.0,0.0,0.0,farm,0,00:03:00
7,129.039015,36.00618295298295,126.5959949,25.405254700376503,13890,1,1,0,0,11,9,6960,6930,30,30,176.9607,97.821045,1713.0,0.0,0.0,116.67212,125.85791,1712.0,0.0,0.0,83.312744,161.33984,1760.0,1.0,0.0,106.22095,136.8374,1009.0,0.0,0.0,169.04663,92.7522,766.0,0.0,0.0,82.718506,165.33838,1847.0,0.0,0.0,116.81836,132.81567,1859.0,0.0,0.0,178.11548,99.236084,1593.0,0.0,0.0,142.50952,116.15576,974.0,0.0,0.0,118.01514,137.80566,657.0,0.0,1.0,farm,0,00:03:30
8,125.2472885,40.49411325254698,121.1764656,27.98877464963803,15207,2,2,0,0,14,10,7262,7945,-683,683,172.79639,86.24243,1827.0,0.0,0.0,123.02588,124.32837,1790.0,0.0,0.0,80.286865,145.98755,1810.0,1.0,1.0,82.57056,147.11646,964.0,0.0,0.0,167.47607,90.766846,871.0,0.0,0.0,82.40234,153.5979,2336.0,1.0,0.0,128.4497,126.97266,2020.0,0.0,0.0,169.29712,94.87085,1713.0,0.0,0.0,162.26562,90.69214,1050.0,0.0,0.0,83.90234,151.18945,826.0,0.0,1.0,farm,0,00:04:00
9,125.81115789999998,40.91724800993146,120.53710900000002,31.418107824050715,16436,2,2,0,0,15,8,7732,8704,-972,972,174.94214,89.44214,2078.0,0.0,0.0,122.62964,122.33984,1880.0,0.0,0.0,65.76538,116.94214,1855.0,1.0,1.0,95.59961,149.30005,959.0,0.0,0.0,164.30884,87.84424,960.0,0.0,0.0,83.616455,169.45703,2584.0,1.0,0.0,126.396484,126.1416,2215.0,0.0,0.0,174.61792,91.24878,1875.0,0.0,0.0,160.33057,89.89111,1095.0,0.0,0.0,89.90454,162.76416,935.0,0.0,1.0,gang,0,00:04:30
