bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_y,hard_r_networth,hard_r_kills,hard_r_deaths,h_sup_r_x,h_sup_r_y,h_sup_r_networth,h_sup_r_kills,h_sup_r_deaths,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label,win,time
0,125.120973,40.592428126871695,127.9027094,35.76053046837315,6860,0,0,0,0,4,8,3520,3340,180,180,169.71533,82.93823,724.0,0.0,0.0,122.10303,123.784424,724.0,0.0,0.0,77.56592,162.57666,724.0,0.0,0.0,79.774414,162.17456,724.0,0.0,0.0,167.87622,90.07446,624.0,0.0,0.0,85.444336,172.49048,724.0,0.0,0.0,124.20801,127.26465,724.0,0.0,0.0,176.56885,92.13623,724.0,0.0,0.0,159.05933,98.53589,634.0,0.0,0.0,88.89429,167.05151,534.0,0.0,0.0,farm,1,00:00:00
1,129.9071286,38.28463471387151,126.80180500000002,33.86662616446529,7602,0,0,0,0,7,9,3827,3775,52,52,171.41504,85.30908,804.0,0.0,0.0,127.35449,126.78369,841.0,0.0,0.0,95.42529,158.61792,844.0,0.0,0.0,86.33618,162.71655,719.0,0.0,0.0,165.79541,96.036865,619.0,0.0,0.0,85.384766,165.35107,930.0,0.0,0.0,128.82349,126.73193,791.0,0.0,0.0,179.2832,91.536865,807.0,0.0,0.0,166.13037,91.26123,668.0,0.0,0.0,93.12305,163.67285,579.0,0.0,0.0,farm,1,00:00:30
2,129.4137944,43.48743854072815,120.8593261,32.45627236790443,8777,1,1,0,0,7,9,4040,4737,-697,697,172.69336,83.982666,1000.0,0.0,0.0,122.60156,124.303955,1003.0,0.0,0.0,76.974365,132.53198,889.0,0.0,0.0,88.187744,158.90137,574.0,0.0,1.0,178.66138,82.24219,574.0,0.0,0.0,85.769775,158.65063,1328.0,1.0,0.0,124.48584,126.84595,1033.0,0.0,0.0,176.64429,91.31128,935.0,0.0,0.0,178.91016,88.41333,782.0,0.0,0.0,89.20947,161.40991,659.0,0.0,0.0,farm,1,00:01:00
3,128.4822024,38.88165738556524,121.939622,27.763917613765773,9663,1,1,0,0,7,9,4656,5007,-351,351,179.95605,95.78247,1173.0,0.0,0.0,131.38745,121.64868,1169.0,0.0,0.0,79.44971,132.38867,1079.0,0.0,0.0,106.91724,140.09619,616.0,0.0,1.0,161.79663,85.58911,619.0,0.0,0.0,85.23901,158.50073,1543.0,1.0,0.0,121.50098,129.18652,1106.0,0.0,0.0,176.29175,100.67993,980.0,0.0,0.0,157.58838,91.81738,737.0,0.0,0.0,84.694824,163.70654,641.0,0.0,0.0,farm,1,00:01:30
4,129.3450924,44.31132817616832,130.12477940000002,27.85530900170632,11048,3,3,0,0,8,10,5686,5362,324,324,177.56445,95.73535,1541.0,1.0,0.0,123.4917,124.90283,1369.0,0.0,0.0,80.19653,155.85449,1231.0,0.0,0.0,84.22412,155.31348,691.0,0.0,1.0,176.46826,99.858154,854.0,1.0,0.0,82.00049,165.42773,1695.0,1.0,0.0,125.10889,127.20752,1277.0,0.0,0.0,180.2627,109.28369,1036.0,0.0,1.0,175.50146,103.46655,668.0,0.0,1.0,88.632324,164.198,686.0,0.0,0.0,farm,1,00:02:00
5,128.6049311,47.64606010839165,122.9383793,30.400203655050127,11924,3,3,0,0,8,7,6099,5825,274,274,173.80005,86.354004,1734.0,1.0,0.0,125.523926,125.386475,1486.0,0.0,0.0,79.383545,151.03052,1296.0,0.0,0.0,78.82153,152.81177,774.0,0.0,1.0,177.01465,87.08887,809.0,1.0,0.0,78.95264,153.63867,1862.0,1.0,0.0,126.92798,126.923584,1401.0,0.0,0.0,178.96484,99.07886,1118.0,0.0,1.0,188.49194,88.33618,713.0,0.0,1.0,78.16821,158.73486,731.0,0.0,0.0,farm,1,00:02:30
6,137.0767825,40.507534625920414,129.2302985,40.247407797434334,13620,5,6,0,0,8,5,7122,6498,624,624,170.64917,78.55127,1817.0,1.0,0.0,128.21094,128.68042,1696.0,0.0,0.0,87.48584,172.66748,1735.0,2.0,1.0,79.20215,163.85303,917.0,0.0,1.0,168.21509,82.53174,957.0,1.0,0.0,86.713135,171.73975,1950.0,1.0,1.0,129.82202,131.53003,1481.0,0.0,0.0,176.36841,96.056885,1373.0,0.0,1.0,161.94067,89.77417,758.0,0.0,1.0,182.1604,176.91821,936.0,0.0,1.0,farm,1,00:03:00
7,130.06667480000002,40.14627517667998,121.5531739,35.13547345759208,14289,5,6,0,0,8,9,7313,6976,337,337,168.41064,83.207275,1897.0,1.0,0.0,136.43164,119.338135,1891.0,0.0,0.0,90.118164,142.7168,1780.0,2.0,1.0,86.17261,151.1206,846.0,0.0,1.0,171.99048,81.271484,899.0,1.0,0.0,82.39844,172.64136,2112.0,1.0,1.0,125.31836,125.68091,1560.0,0.0,0.0,172.61938,86.88013,1562.0,0.0,1.0,175.93555,88.818115,761.0,0.0,1.0,91.271484,163.85693,981.0,0.0,1.0,farm,1,00:03:30
8,132.6760007,42.492552068417865,132.745947,29.783431299818663,15181,5,6,0,0,10,10,7604,7577,27,27,177.76392,98.21118,2059.0,1.0,0.0,123.658936,123.784424,2088.0,0.0,0.0,79.06201,148.66821,1722.0,2.0,1.0,96.737305,159.02075,841.0,0.0,1.0,169.23755,93.66919,894.0,1.0,0.0,82.48291,162.95996,2417.0,1.0,1.0,160.11523,160.79175,1643.0,0.0,0.0,175.85034,104.26636,1721.0,0.0,1.0,172.70581,109.121826,706.0,0.0,1.0,89.145996,166.96582,1090.0,0.0,1.0,farm,1,00:04:00
9,132.42727,41.14899378736343,131.18269049999998,35.12237497712347,16779,6,7,0,0,12,7,8841,7938,903,903,181.0625,96.026855,2371.0,2.0,0.0,121.2832,123.65918,2305.0,0.0,0.0,95.4187,167.73926,2040.0,2.0,1.0,95.846924,167.29907,932.0,0.0,1.0,179.98535,93.18701,1193.0,1.0,0.0,83.475586,171.54272,2547.0,1.0,1.0,125.1311,125.88794,1657.0,0.0,0.0,180.27466,97.09131,1817.0,0.0,2.0,169.86206,96.74048,782.0,0.0,1.0,91.93262,172.65308,1135.0,0.0,1.0,farm,1,00:04:30
