bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_y,hard_r_networth,hard_r_kills,hard_r_deaths,h_sup_r_x,h_sup_r_y,h_sup_r_networth,h_sup_r_kills,h_sup_r_deaths,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label,win,time
0,124.664379,35.289782266695354,124.4980974,39.35667880920882,7069,0,0,0,0,5,9,3505,3564,-59,59,165.26611,81.39258,693.0,0.0,0.0,121.97876,124.072754,723.0,0.0,0.0,78.84888,162.4375,723.0,0.0,0.0,98.24609,162.4502,693.0,0.0,0.0,154.61719,83.85132,673.0,0.0,0.0,84.73877,171.90894,723.0,0.0,0.0,127.82446,126.684814,723.0,0.0,0.0,171.62207,88.24341,723.0,0.0,0.0,153.62866,77.413086,772.0,0.0,0.0,89.8728,166.52637,623.0,0.0,0.0,farm,0,00:00:00
1,123.2775882,37.89061682422948,127.445411,34.95584658843311,7756,0,0,0,0,7,9,3891,3865,26,26,170.76758,85.36304,827.0,0.0,0.0,121.866455,120.48462,809.0,0.0,0.0,78.21631,159.90918,879.0,0.0,0.0,90.230225,164.05664,658.0,0.0,0.0,155.94336,89.82178,718.0,0.0,0.0,81.395996,169.66553,930.0,0.0,0.0,121.384766,128.06152,724.0,0.0,0.0,166.60156,98.635254,806.0,0.0,0.0,160.86548,92.156006,787.0,0.0,0.0,85.50415,166.30054,618.0,0.0,0.0,farm,0,00:00:30
2,124.6819336,42.20196869577506,127.1126459,25.22133147965608,8651,0,0,0,0,8,10,4330,4321,9,9,155.91553,80.90625,880.0,0.0,0.0,125.79175,124.396484,1015.0,0.0,0.0,75.513916,149.51123,1049.0,0.0,0.0,84.58252,149.25586,623.0,0.0,0.0,168.625,103.700195,763.0,0.0,0.0,79.201416,155.82495,1055.0,0.0,0.0,129.20166,128.44775,893.0,0.0,0.0,178.156,113.30151,964.0,0.0,0.0,170.45337,110.99634,806.0,0.0,0.0,79.378174,154.78589,603.0,0.0,0.0,farm,0,00:01:00
3,120.5802005,31.147880357426363,127.0658458,33.546090891593565,9577,0,0,0,0,9,10,4903,4674,229,229,157.73267,80.76294,1069.0,0.0,0.0,130.65259,127.128174,1193.0,0.0,0.0,79.789795,154.59766,1154.0,0.0,0.0,90.87109,161.20972,682.0,0.0,0.0,154.17969,86.61304,805.0,0.0,0.0,78.68994,164.28076,1138.0,0.0,0.0,134.11475,133.42749,1058.0,0.0,0.0,145.83496,85.87622,1009.0,0.0,0.0,139.02124,115.514404,851.0,0.0,0.0,94.91528,161.24805,618.0,0.0,0.0,farm,0,00:01:30
4,121.135938,31.717581459167903,124.1398431,38.49959871321786,10348,0,0,0,0,10,9,5258,5090,168,168,164.05615,87.632324,1272.0,0.0,0.0,121.98828,120.249756,1353.0,0.0,0.0,79.2334,158.22827,1316.0,0.0,0.0,99.55884,161.9978,497.0,0.0,0.0,158.76929,80.518555,820.0,0.0,0.0,80.47485,168.43945,1217.0,0.0,0.0,126.41333,125.17993,1189.0,0.0,0.0,145.56055,91.158936,1168.0,0.0,0.0,142.86646,76.86572,896.0,0.0,0.0,92.43823,171.12769,620.0,0.0,0.0,farm,0,00:02:00
5,122.6931395,41.23922725461783,124.5077636,34.76515648757072,11735,0,0,0,0,12,7,5860,5875,-15,15,180.70557,88.7749,1438.0,0.0,0.0,124.66675,124.40967,1474.0,0.0,0.0,78.73291,155.40747,1492.0,0.0,0.0,70.633545,163.95117,512.0,0.0,0.0,147.51025,81.24585,944.0,0.0,0.0,79.96582,160.84766,1528.0,0.0,0.0,127.80078,128.34521,1503.0,0.0,0.0,181.42822,89.77051,1244.0,0.0,0.0,143.5083,89.617676,916.0,0.0,0.0,91.97925,162.70752,684.0,0.0,0.0,farm,0,00:02:30
6,124.024096,37.89239438626113,131.8131105,32.69359451321122,12521,0,0,0,0,12,8,6210,6311,-101,101,168.17041,82.956055,1483.0,0.0,0.0,121.18359,121.04321,1573.0,0.0,0.0,78.28076,162.26685,1608.0,0.0,0.0,85.6084,159.99731,557.0,0.0,0.0,150.68652,112.168945,989.0,0.0,0.0,86.154785,171.01636,1730.0,0.0,0.0,123.26514,124.61084,1662.0,0.0,0.0,172.21191,86.97095,1259.0,0.0,0.0,165.46924,127.943115,931.0,0.0,0.0,89.210205,169.15747,729.0,0.0,0.0,farm,0,00:03:00
7,130.1823475,42.74753185640645,131.2259281,36.452759670431846,13730,0,0,0,0,13,6,6814,6916,-102,102,173.1206,87.606445,1734.0,0.0,0.0,117.085205,116.02515,1719.0,0.0,0.0,84.54541,164.979,1805.0,0.0,0.0,91.34546,164.42114,552.0,0.0,0.0,168.10571,84.700195,1004.0,0.0,0.0,86.59326,175.65186,1946.0,0.0,0.0,121.4436,122.535645,1707.0,0.0,0.0,190.98486,87.528076,1460.0,0.0,0.0,177.2793,140.50684,1047.0,0.0,0.0,91.32007,168.30493,756.0,0.0,0.0,farm,0,00:03:30
8,127.4270515,41.10482899615568,131.8572514,31.30192966268229,15054,0,0,0,0,13,9,7638,7416,222,222,174.6499,93.390625,1958.0,0.0,0.0,126.69971,124.8584,1930.0,0.0,0.0,80.306885,162.18286,2039.0,0.0,0.0,84.87915,161.70972,644.0,0.0,0.0,171.10352,95.93359,1067.0,0.0,0.0,82.73071,170.92676,2147.0,0.0,0.0,127.35864,126.865234,1868.0,0.0,0.0,178.19849,108.754395,1578.0,0.0,0.0,159.10718,104.95337,1152.0,0.0,0.0,89.23633,168.99756,671.0,0.0,0.0,farm,0,00:04:00
9,123.77497739999998,34.93705931467751,127.0884515,35.44846816424858,16014,0,1,0,0,13,9,8133,7881,252,252,165.36475,80.5332,2136.0,0.0,0.0,122.18994,122.65381,2092.0,0.0,0.0,80.74219,163.27637,2125.0,0.0,0.0,93.53735,163.24243,624.0,0.0,1.0,160.26392,92.129395,1156.0,0.0,0.0,83.68848,171.62988,2265.0,0.0,0.0,126.32764,126.56665,2036.0,0.0,0.0,168.51807,98.84253,1651.0,0.0,0.0,145.8147,90.65625,1197.0,0.0,0.0,91.302734,161.354,732.0,0.0,0.0,farm,0,00:04:30
