bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_y,hard_r_networth,hard_r_kills,hard_r_deaths,h_sup_r_x,h_sup_r_y,h_sup_r_networth,h_sup_r_kills,h_sup_r_deaths,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label,win
0,123.47573359999998,34.74691440731988,124.2554929,34.19704608349105,7163,1,1,0,0,4,8,3355,3808,-453,453,175.25293,87.34155,723.0,0.0,0.0,122.989746,121.84448,673.0,0.0,0.0,80.12549,157.42358,723.0,0.0,0.0,78.32666,158.57593,723.0,0.0,0.0,158.59863,82.051025,513.0,0.0,1.0,86.19507,172.43848,723.0,0.0,0.0,125.53174,127.069824,1093.0,1.0,0.0,154.04688,82.22925,723.0,0.0,0.0,145.31592,104.55664,736.0,0.0,0.0,108.37427,149.02417,533.0,0.0,0.0,gang,1
1,129.174123,38.51437322633361,129.371387,33.9126178468,7943,1,1,0,0,6,9,3797,4146,-349,349,178.73047,98.596924,853.0,0.0,0.0,120.920654,119.20386,833.0,0.0,0.0,95.749756,159.12354,925.0,0.0,0.0,89.37427,167.09521,678.0,0.0,0.0,168.53223,96.54419,508.0,0.0,1.0,85.80762,173.58496,890.0,0.0,0.0,122.931885,123.98291,1179.0,1.0,0.0,177.98853,100.600586,768.0,0.0,0.0,159.40479,88.14917,781.0,0.0,0.0,92.301025,166.83252,528.0,0.0,0.0,farm,1
2,131.8914069,39.38060094421945,126.4512204,29.17133569484396,8867,1,1,0,0,6,10,4234,4633,-399,399,180.61646,93.31128,1010.0,0.0,0.0,121.82056,121.18823,962.0,0.0,0.0,81.53345,134.94678,970.0,0.0,0.0,100.52783,160.26831,739.0,0.0,0.0,171.3042,96.84131,553.0,0.0,1.0,93.890625,161.68872,1057.0,0.0,0.0,122.68652,125.12329,1321.0,1.0,0.0,178.55078,103.35083,946.0,0.0,0.0,170.69507,98.173584,711.0,0.0,0.0,97.288574,169.61987,598.0,0.0,0.0,farm,1
3,125.2643078,42.927134846225854,116.5234612,32.57931873594313,9872,2,2,0,0,7,8,4621,5251,-630,630,168.04468,80.88721,1091.0,0.0,0.0,125.851074,123.99902,1046.0,0.0,0.0,81.35547,151.2395,1167.0,0.0,0.0,75.26514,77.312256,719.0,0.0,1.0,166.13965,94.694336,598.0,0.0,1.0,79.54297,162.17554,1167.0,0.0,0.0,122.490234,128.36572,1476.0,1.0,0.0,178.73853,91.81372,1026.0,0.0,0.0,170.54272,96.25073,791.0,0.0,0.0,84.67261,158.49658,791.0,1.0,0.0,farm,1
4,131.83659640000002,38.080206001819136,130.122046,34.945715950536204,10785,2,2,0,0,10,9,4934,5851,-917,917,174.80273,86.64697,1209.0,0.0,0.0,121.278076,123.40088,1167.0,0.0,0.0,100.87451,173.08545,1251.0,0.0,0.0,91.05444,163.00122,714.0,0.0,1.0,170.70435,93.2124,593.0,0.0,1.0,89.346924,167.2019,1368.0,0.0,0.0,125.07178,124.6792,1629.0,1.0,0.0,178.79541,100.6438,1172.0,0.0,0.0,171.30249,99.66431,816.0,0.0,0.0,95.135254,169.68433,866.0,1.0,0.0,farm,1
5,121.9303215,41.1119844404997,120.2683114,31.95392903412949,12121,2,2,0,0,10,8,5467,6654,-1187,1187,168.60767,80.71777,1395.0,0.0,0.0,117.48193,119.14307,1216.0,0.0,0.0,77.39331,149.15674,1362.0,0.0,0.0,84.78198,150.55396,850.0,0.0,1.0,163.3606,94.58569,644.0,0.0,1.0,76.71094,155.73096,1619.0,0.0,0.0,123.4353,124.615234,1870.0,1.0,0.0,171.32861,83.41089,1459.0,0.0,0.0,159.4331,86.54663,795.0,0.0,0.0,76.769775,158.22217,911.0,1.0,0.0,farm,1
6,123.7448234,31.23366836739219,120.4274914,36.58140847111229,13261,2,2,0,0,10,10,6186,7075,-889,889,157.64941,80.750244,1604.0,0.0,0.0,119.85571,121.72632,1344.0,0.0,0.0,90.698,157.97803,1638.0,0.0,0.0,93.711914,155.35059,917.0,0.0,1.0,159.1648,78.82886,683.0,0.0,1.0,90.26294,157.83838,1664.0,0.0,0.0,123.85571,123.8938,2105.0,1.0,0.0,152.11865,81.33667,1504.0,0.0,0.0,159.97241,83.58911,846.0,0.0,0.0,90.15869,162.98291,956.0,1.0,0.0,farm,1
7,127.1564205,40.67914085346324,122.726685,32.999370495097324,14481,2,2,0,0,10,8,6848,7633,-785,785,176.32983,95.960205,1848.0,0.0,0.0,116.95459,132.21289,1509.0,0.0,0.0,87.005615,165.70947,1843.0,0.0,0.0,66.91626,134.28516,962.0,0.0,1.0,171.54736,90.79883,686.0,0.0,1.0,85.8396,167.71387,1987.0,0.0,0.0,129.68262,123.10303,2271.0,1.0,0.0,177.98486,99.65576,1583.0,0.0,0.0,150.26807,69.825195,791.0,0.0,0.0,109.0354,148.00244,1001.0,1.0,0.0,farm,1
8,134.7709966,35.25171885981726,125.9691644,35.42106137669794,16113,3,3,0,0,10,9,7261,8852,-1591,1591,168.29541,75.87012,1971.0,0.0,0.0,120.492676,121.778564,1597.0,0.0,0.0,107.55176,164.82812,1998.0,0.0,0.0,84.88135,155.26123,1007.0,0.0,1.0,177.1643,87.77759,688.0,0.0,2.0,106.03711,168.30005,2256.0,0.0,0.0,127.24219,126.2207,2485.0,1.0,0.0,178.25049,99.40112,1884.0,0.0,0.0,170.69751,95.44751,1176.0,1.0,0.0,107.09717,164.80664,1051.0,1.0,0.0,farm,1
9,125.0805415,38.12104520580055,119.22732,29.04957891097653,16634,3,3,0,0,10,10,7509,9125,-1616,1616,168.83789,81.41675,2099.0,0.0,0.0,114.34033,126.783936,1722.0,0.0,0.0,84.4834,136.50757,1953.0,0.0,0.0,82.40405,136.80542,1002.0,0.0,1.0,162.05078,83.08862,733.0,0.0,2.0,85.39136,153.2793,2301.0,0.0,0.0,128.72363,158.98682,2611.0,1.0,0.0,175.20508,101.30298,2011.0,0.0,0.0,157.17578,86.601074,1171.0,1.0,0.0,92.193115,127.50073,1031.0,1.0,0.0,farm,1
10,130.28984350000002,37.551344826778845,113.3586915,28.96110058048728,18008,3,3,0,0,16,9,8174,9834,-1660,1660,167.97925,82.75415,2321.0,0.0,0.0,121.072266,117.94971,1894.0,0.0,0.0,80.10498,141.90088,2131.0,0.0,0.0,93.34448,124.69458,1046.0,0.0,1.0,166.28296,83.80176,782.0,0.0,2.0,85.748535,163.58203,2504.0,0.0,0.0,126.91235,124.075195,2850.0,1.0,0.0,171.43628,83.55322,2130.0,0.0,0.0,175.70752,81.87427,1324.0,1.0,0.0,114.309814,129.40112,1026.0,1.0,0.0,gang,1
11,124.046336,34.98180781963429,121.3238286,27.13631239595088,19858,3,3,0,0,18,8,9273,10585,-1312,1312,168.28076,79.75464,2661.0,0.0,0.0,111.74658,128.51172,2143.0,0.0,0.0,79.27026,149.25171,2465.0,0.0,0.0,108.63696,134.71118,1137.0,0.0,1.0,133.11523,92.32471,867.0,0.0,2.0,78.65698,160.18652,2689.0,0.0,0.0,117.6311,131.88452,3096.0,1.0,0.0,188.25464,88.739746,2362.0,0.0,0.0,140.35742,110.70044,1417.0,1.0,0.0,114.51343,137.1731,1021.0,1.0,0.0,gang,1
12,120.6987794,32.46675643100177,116.652173,24.20152592357628,21271,3,3,0,0,21,9,9966,11305,-1339,1339,166.79346,82.99414,2862.0,0.0,0.0,118.7749,121.13428,2378.0,0.0,0.0,67.22485,126.59888,2732.0,0.0,0.0,95.98999,135.66187,1132.0,0.0,1.0,123.82178,100.96411,862.0,0.0,2.0,87.591064,162.29028,2986.0,0.0,0.0,119.96973,123.70703,3228.0,1.0,0.0,172.43335,83.96118,2563.0,0.0,0.0,130.44629,104.54614,1462.0,1.0,0.0,123.94238,124.66382,1066.0,1.0,0.0,def,1
13,130.0668956,43.13298512077773,120.4012945,26.014562915717725,22834,3,3,0,0,21,7,10689,12145,-1456,1456,161.02881,80.917725,3031.0,0.0,0.0,119.21582,121.98535,2578.0,0.0,0.0,67.1416,135.53833,2974.0,0.0,0.0,77.20215,134.49927,1199.0,0.0,1.0,145.27466,90.7312,907.0,0.0,2.0,79.319336,155.2898,3330.0,0.0,0.0,143.21411,116.63965,3359.0,1.0,0.0,174.4336,92.54907,2804.0,0.0,0.0,191.91309,120.61865,1507.0,1.0,0.0,141.92578,155.2439,1145.0,1.0,0.0,farm,1
14,130.89811939999998,33.56445032266913,117.9749765,32.05423489266695,24324,3,3,0,0,25,10,11344,12980,-1636,1636,169.71973,82.19824,3191.0,0.0,0.0,113.01611,100.25195,2728.0,0.0,0.0,84.38208,140.06055,3271.0,0.0,0.0,93.57422,144.2627,1188.0,0.0,1.0,160.9165,82.838135,966.0,0.0,2.0,96.19141,165.16895,3664.0,0.0,0.0,132.80444,154.18042,3639.0,1.0,0.0,173.7854,86.03003,2963.0,0.0,0.0,158.83398,94.79297,1552.0,1.0,0.0,125.757324,129.96582,1162.0,1.0,0.0,gang,1
15,125.9207506,26.55276898706112,121.4234602,30.321499747894123,25993,3,3,0,0,26,9,12066,13927,-1861,1861,165.13672,80.83447,3440.0,0.0,0.0,131.35742,112.48242,2915.0,0.0,0.0,91.19946,134.51904,3506.0,0.0,0.0,108.079346,127.572266,1153.0,0.0,1.0,131.24512,108.242676,1052.0,0.0,2.0,85.06201,187.33398,3792.0,0.0,0.0,114.79907,147.83691,3950.0,1.0,0.0,160.49951,90.74365,3173.0,0.0,0.0,131.6018,109.5271,1640.0,1.0,0.0,140.22705,115.14209,1372.0,1.0,0.0,farm,1
16,128.2937756,28.458626450094453,123.693384,29.36825488772195,28105,4,4,0,0,26,9,13465,14640,-1175,1175,168.11377,82.86987,3650.0,0.0,0.0,120.73389,118.28467,3422.0,1.0,0.0,96.09009,129.54468,3870.0,0.0,0.0,106.67627,127.44409,1374.0,0.0,1.0,122.663086,101.92041,1149.0,0.0,2.0,89.87134,161.03027,4080.0,0.0,0.0,129.65479,130.01929,4031.0,1.0,0.0,144.63354,80.05249,3426.0,0.0,0.0,176.92017,168.719,1686.0,1.0,1.0,127.58081,137.04907,1417.0,1.0,0.0,gang,1
