bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_y,hard_r_networth,hard_r_kills,hard_r_deaths,h_sup_r_x,h_sup_r_y,h_sup_r_networth,h_sup_r_kills,h_sup_r_deaths,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label,win
0,126.381225,39.12464323856442,123.15315,33.767039873097154,7603,1,1,0,0,5,8,3525,4078,-553,553,169.60669,83.16968,724.0,0.0,0.0,125.26074,127.51294,724.0,0.0,0.0,78.957275,150.51074,709.0,0.0,1.0,84.28784,141.88062,694.0,0.0,0.0,162.79736,84.92627,674.0,0.0,0.0,92.65674,173.17017,1050.0,1.0,0.0,127.696045,128.22534,782.0,0.0,0.0,175.04565,87.51904,782.0,0.0,0.0,162.73145,93.7522,732.0,0.0,0.0,84.77246,160.8645,732.0,0.0,0.0,farm,1
1,127.0617924,37.45320489017141,129.98627900000002,37.03574376285554,7981,1,1,0,0,7,7,3809,4172,-363,363,173.63281,85.58545,888.0,0.0,0.0,123.32861,126.23706,728.0,0.0,0.0,82.358154,168.05786,845.0,0.0,1.0,94.55591,165.69336,709.0,0.0,0.0,160.34546,94.379395,639.0,0.0,0.0,84.42041,173.2749,1065.0,1.0,0.0,126.1897,125.27124,866.0,0.0,0.0,175.33252,88.504395,827.0,0.0,0.0,157.80933,99.91162,747.0,0.0,0.0,92.64502,172.94751,667.0,0.0,0.0,farm,1
2,128.5138675,44.32194453954379,128.606763,28.52681565769811,8669,2,2,0,0,7,10,4445,4224,221,221,175.77734,95.92676,1263.0,1.0,0.0,127.293945,125.95093,858.0,0.0,0.0,82.53955,154.90527,924.0,0.0,1.0,77.71655,156.16724,724.0,0.0,0.0,171.13599,94.45923,676.0,0.0,0.0,80.81714,161.36963,1126.0,1.0,0.0,130.66284,131.96826,831.0,0.0,0.0,178.35767,98.48193,918.0,0.0,0.0,176.04053,105.19507,697.0,0.0,1.0,84.79712,161.64331,652.0,0.0,0.0,farm,1
3,125.2578615,42.39852919153041,123.596656,28.700225604548127,9288,2,2,0,0,8,10,4739,4549,190,190,175.06079,97.16162,1354.0,1.0,0.0,126.76904,126.34131,952.0,0.0,0.0,78.54053,148.96045,1076.0,0.0,1.0,82.140625,149.5459,644.0,0.0,0.0,164.75513,83.71875,713.0,0.0,0.0,78.9563,155.17676,1291.0,1.0,0.0,126.36719,128.28052,968.0,0.0,0.0,176.82129,98.80835,1011.0,0.0,0.0,161.97949,91.07715,662.0,0.0,1.0,81.18823,156.89575,617.0,0.0,0.0,farm,1
4,135.2236566,42.40421298561872,128.0655745,34.38176959417741,10333,3,3,0,0,8,6,5535,4798,737,737,165.51709,90.15137,1433.0,1.0,0.0,121.01196,122.613525,1086.0,0.0,0.0,78.40112,154.90991,1456.0,0.0,1.0,79.903076,162.2351,832.0,1.0,0.0,169.25366,87.79126,728.0,0.0,0.0,85.55078,165.10327,1374.0,1.0,0.0,124.96802,126.04956,1130.0,0.0,0.0,176.12158,94.78369,1185.0,0.0,0.0,169.21826,100.03906,577.0,0.0,1.0,182.29102,176.979,532.0,0.0,1.0,farm,1
5,127.1325439,45.59686981276654,124.91496709999998,39.50336208082074,11262,3,3,0,0,8,4,5953,5309,644,644,167.99805,83.25879,1600.0,1.0,0.0,122.267334,121.126465,1215.0,0.0,0.0,70.1582,163.75195,1502.0,0.0,1.0,79.015625,166.64722,915.0,1.0,0.0,179.54736,76.60547,721.0,0.0,0.0,84.653564,170.40308,1495.0,1.0,0.0,119.895996,123.73096,1232.0,0.0,0.0,172.67749,85.406006,1357.0,0.0,0.0,185.31006,90.09302,562.0,0.0,1.0,89.80176,168.12671,663.0,0.0,1.0,farm,1
6,131.6797603,37.77263893292137,131.9169934,31.99968612258682,12054,3,3,0,0,8,9,6381,5673,708,708,171.32373,94.63843,1831.0,1.0,0.0,126.03833,127.639404,1260.0,0.0,0.0,96.269775,164.5188,1624.0,0.0,1.0,94.802,162.78369,900.0,1.0,0.0,176.49438,97.09253,766.0,0.0,0.0,83.649414,168.80762,1672.0,1.0,0.0,129.76294,130.6648,1214.0,0.0,0.0,172.32642,101.00098,1472.0,0.0,0.0,169.45703,102.63794,607.0,0.0,1.0,96.673584,169.38574,708.0,0.0,1.0,farm,1
7,121.38425180000002,39.48819147916988,128.2672135,34.348470768791,13300,4,4,0,0,9,7,6816,6484,332,332,175.2456,95.04346,1922.0,1.0,0.0,128.01025,122.879395,1549.0,0.0,0.0,75.264404,77.97925,1632.0,0.0,2.0,83.28247,159.6355,902.0,1.0,0.0,168.80078,97.4541,811.0,0.0,0.0,90.971924,172.48706,1961.0,1.0,0.0,125.06909,128.3357,1336.0,0.0,0.0,175.77051,102.91968,1593.0,0.0,0.0,100.58667,160.06299,839.0,1.0,1.0,90.84082,165.875,755.0,0.0,1.0,gang,1
8,130.4849835,40.6005575982234,130.4320555,30.04405027783745,14474,4,4,0,0,11,10,7306,7168,138,138,174.59546,96.75928,2121.0,1.0,0.0,128.1665,126.803955,1668.0,0.0,0.0,79.643555,154.94458,1839.0,0.0,2.0,82.53735,155.9602,917.0,1.0,0.0,170.80322,95.4978,761.0,0.0,0.0,95.68286,169.77954,2219.0,1.0,0.0,132.6206,131.85962,1477.0,0.0,0.0,174.7981,101.8396,1660.0,0.0,0.0,172.89526,103.14307,966.0,1.0,1.0,93.10693,167.73291,846.0,0.0,1.0,farm,1
9,127.7723636,41.954289491172815,127.611207,34.574152665461924,15723,4,4,0,0,11,7,8054,7669,385,385,174.64917,84.3772,2333.0,1.0,0.0,124.42676,124.65967,1921.0,0.0,0.0,79.107666,148.77368,2014.0,0.0,2.0,94.48364,142.88965,932.0,1.0,0.0,169.27539,86.5813,854.0,0.0,0.0,81.75,168.27417,2399.0,1.0,0.0,127.32007,130.41675,1522.0,0.0,0.0,175.19116,103.38208,1831.0,0.0,0.0,170.81006,99.96167,1026.0,1.0,1.0,80.70972,186.7959,891.0,0.0,1.0,farm,1
