bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_y,hard_r_networth,hard_r_kills,hard_r_deaths,h_sup_r_x,h_sup_r_y,h_sup_r_networth,h_sup_r_kills,h_sup_r_deaths,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label,win
0,124.9104495,39.54992706560545,126.6431885,34.838217999750746,7090,0,0,0,0,5,7,3520,3570,-50,50,169.73755,82.271484,724.0,0.0,0.0,123.109375,123.6897,724.0,0.0,0.0,79.30591,163.08252,724.0,0.0,0.0,83.940186,153.30005,724.0,0.0,0.0,163.06812,90.730225,624.0,0.0,0.0,82.9353,170.97607,724.0,0.0,0.0,126.382324,130.16284,724.0,0.0,0.0,175.94287,91.61694,724.0,0.0,0.0,157.47778,95.759766,724.0,0.0,0.0,87.20508,164.84229,674.0,0.0,0.0,farm,0
1,126.7045897,42.68039085612483,122.5595944,31.96433084694539,7704,0,0,0,0,6,7,3835,3869,-34,34,172.06177,81.82422,811.0,0.0,0.0,127.477295,127.378174,815.0,0.0,0.0,77.88037,150.96655,777.0,0.0,0.0,81.61499,152.39307,793.0,0.0,0.0,171.52148,86.03418,639.0,0.0,0.0,77.343506,158.32983,924.0,0.0,0.0,133.37964,129.69287,820.0,0.0,0.0,176.75879,88.22534,775.0,0.0,0.0,162.68164,94.09741,661.0,0.0,0.0,86.326416,156.6543,689.0,0.0,0.0,farm,0
2,129.890674,41.798734263422695,124.32688,33.862196098057,8221,0,0,0,0,7,9,4170,4051,119,119,171.84546,83.26318,957.0,0.0,0.0,126.89819,123.55127,815.0,0.0,0.0,79.53784,153.99805,874.0,0.0,0.0,93.84668,157.81592,840.0,0.0,0.0,174.11499,86.04883,684.0,0.0,0.0,78.70264,160.39575,977.0,0.0,0.0,128.1189,131.9126,820.0,0.0,0.0,177.31982,90.84277,890.0,0.0,0.0,174.59473,91.22925,630.0,0.0,0.0,93.92749,164.21118,734.0,0.0,0.0,farm,0
3,128.2461169,41.08650377352591,126.5501719,34.552414884265815,8975,0,0,0,0,8,7,4455,4520,-65,65,170.08398,80.47876,1039.0,0.0,0.0,125.06348,123.940674,984.0,0.0,0.0,76.27319,159.69727,958.0,0.0,0.0,95.986084,162.51709,825.0,0.0,0.0,165.56152,98.10962,649.0,0.0,0.0,79.855225,166.67993,1224.0,0.0,0.0,133.06372,129.32422,807.0,0.0,0.0,177.10522,95.359375,1010.0,0.0,0.0,171.8147,87.17139,695.0,0.0,0.0,87.65405,162.22339,784.0,0.0,0.0,farm,0
4,127.160204,43.97976868134312,123.5620366,31.048922230073828,9788,0,0,0,0,8,8,4872,4916,-44,44,172.97314,86.62671,1175.0,0.0,0.0,122.89526,127.66724,1113.0,0.0,0.0,79.31494,151.06348,1076.0,0.0,0.0,82.65674,151.34082,844.0,0.0,0.0,171.3042,89.761475,664.0,0.0,0.0,78.01196,158.23364,1393.0,0.0,0.0,127.93384,130.13818,886.0,0.0,0.0,175.99585,92.921875,1094.0,0.0,0.0,176.36816,89.002686,714.0,0.0,0.0,84.14795,158.86426,829.0,0.0,0.0,farm,0
5,122.68986929999998,45.60369992933525,118.56076699999998,33.844061435171824,10892,0,0,0,0,8,7,5519,5373,146,146,169.6001,81.55322,1294.0,0.0,0.0,122.19849,120.262695,1330.0,0.0,0.0,77.2439,147.47974,1323.0,0.0,0.0,69.221924,142.50513,863.0,0.0,0.0,170.41602,79.61865,709.0,0.0,0.0,79.6189,155.97363,1614.0,0.0,0.0,125.154785,127.85376,1050.0,0.0,0.0,171.74951,81.93848,1176.0,0.0,0.0,171.04565,84.720215,679.0,0.0,0.0,70.649414,163.70215,854.0,0.0,0.0,farm,0
6,128.4872814,42.37824314199055,124.3742434,32.20880758036989,11753,0,0,0,0,9,9,5859,5894,-35,35,170.99756,83.64087,1608.0,0.0,0.0,121.06909,122.534424,1426.0,0.0,0.0,79.79224,149.37378,1355.0,0.0,0.0,84.27344,145.88257,778.0,0.0,0.0,166.23853,89.11548,692.0,0.0,0.0,83.98096,164.39575,1785.0,0.0,0.0,127.632324,132.63647,1250.0,0.0,0.0,178.12695,97.55127,1262.0,0.0,0.0,180.98804,91.19287,728.0,0.0,0.0,91.77368,167.41895,869.0,0.0,0.0,farm,0
7,134.119483,35.74202609961806,124.0814454,32.955467269341895,12786,0,0,0,0,10,10,6265,6521,-256,256,171.698,82.934814,1553.0,0.0,0.0,122.19141,123.39526,1673.0,0.0,0.0,95.77051,161.07715,1441.0,0.0,0.0,106.9895,149.29736,852.0,0.0,0.0,172.66187,88.96338,746.0,0.0,0.0,92.87793,164.36133,1960.0,0.0,0.0,136.91626,119.45386,1445.0,0.0,0.0,175.35132,94.04712,1464.0,0.0,0.0,171.0581,95.05859,723.0,0.0,0.0,95.67993,162.22559,929.0,0.0,0.0,farm,0
8,129.6898205,38.42606587266531,126.695412,36.12328700750584,14007,1,1,0,0,10,8,6613,7394,-781,781,178.1565,88.20288,1598.0,0.0,1.0,128.14307,129.50928,1841.0,0.0,0.0,81.91089,156.5149,1536.0,0.0,0.0,87.755615,155.20337,897.0,0.0,0.0,166.32056,78.23535,741.0,0.0,0.0,92.95386,172.7312,2129.0,0.0,0.0,133.69531,130.72559,1579.0,0.0,0.0,169.87329,83.17432,1687.0,0.0,0.0,164.91528,104.79346,1025.0,1.0,0.0,93.17383,167.86377,974.0,0.0,0.0,farm,0
9,121.2272459,35.01548773117156,127.6800785,33.40520338832161,15409,1,1,0,0,13,9,7617,7792,-175,175,161.1753,81.36401,1817.0,0.0,1.0,117.819824,119.67871,2046.0,0.0,0.0,83.28662,158.98047,1851.0,0.0,0.0,86.79199,158.8628,987.0,0.0,0.0,157.58496,82.12622,916.0,0.0,0.0,82.05591,170.90991,2223.0,0.0,0.0,126.01709,127.88086,1832.0,0.0,0.0,176.30688,104.035645,1808.0,0.0,0.0,128.83618,111.74341,1020.0,1.0,0.0,92.397705,161.21875,909.0,0.0,0.0,farm,0
10,126.007641,32.34885424305214,130.800683,35.23751627043164,16955,1,1,0,0,15,9,8545,8410,135,135,166.95581,77.95215,2127.0,0.0,1.0,125.62695,127.27124,2341.0,0.0,0.0,95.43579,165.64917,2036.0,0.0,0.0,92.61377,162.3374,1084.0,0.0,0.0,133.17871,105.02612,957.0,0.0,0.0,92.45776,170.67505,2477.0,0.0,0.0,133.07056,130.07983,2005.0,0.0,0.0,174.20972,104.32788,1940.0,0.0,0.0,155.86694,92.3418,1065.0,1.0,0.0,90.6604,172.34619,923.0,0.0,0.0,farm,0
11,125.0909671,31.80847253475581,128.5993408,25.328501472369343,18208,1,1,0,0,15,8,8962,9246,-284,284,168.2378,79.795654,2235.0,0.0,1.0,115.74536,133.71362,2455.0,0.0,0.0,85.801025,148.29053,2141.0,0.0,0.0,113.31885,139.17798,1129.0,0.0,0.0,117.062256,123.444824,1002.0,0.0,0.0,81.93237,166.05493,2723.0,0.0,0.0,127.6958,127.98584,2262.0,0.0,0.0,178.15112,95.6958,2174.0,0.0,0.0,149.42334,124.81348,1110.0,1.0,0.0,113.54175,147.02075,977.0,0.0,0.0,farm,0
12,119.8840085,34.09726592893158,126.9767818,30.426546187747142,19617,1,1,0,0,19,8,9491,10126,-635,635,159.71313,87.447266,2470.0,0.0,1.0,118.75488,99.888916,2520.0,0.0,0.0,90.49341,144.8247,2342.0,0.0,0.0,88.988525,138.13965,1174.0,0.0,0.0,122.90869,105.881836,985.0,0.0,0.0,87.52588,170.62646,2991.0,0.0,0.0,128.09009,126.99927,2580.0,0.0,0.0,177.17676,102.10742,2303.0,0.0,0.0,148.26904,116.6958,1230.0,1.0,0.0,76.91968,177.1565,1022.0,0.0,0.0,gang,0
13,136.431665,46.10112711326294,116.074267,27.361340468559348,21204,2,2,0,0,20,7,10568,10636,-68,68,176.79614,92.67334,2721.0,0.0,1.0,123.48193,112.49609,2856.0,0.0,0.0,73.06641,142.55078,2508.0,0.0,0.0,174.02661,91.24536,1219.0,0.0,0.0,174.7439,92.08374,1264.0,1.0,0.0,91.91382,171.43457,3240.0,0.0,0.0,130.16211,129.3523,2751.0,0.0,0.0,175.87158,96.5437,2383.0,0.0,0.0,178.90991,97.99048,1195.0,1.0,1.0,65.34424,134.37231,1067.0,0.0,0.0,def,0
14,135.0150388,43.09656258272325,127.3242189,27.18139836139792,22561,2,2,0,0,20,8,11120,11441,-321,321,176.96338,100.80957,2929.0,0.0,1.0,117.40332,115.957275,3031.0,0.0,0.0,79.221436,162.93335,2503.0,0.0,0.0,164.99585,106.18213,1313.0,0.0,0.0,170.47485,103.1062,1344.0,1.0,0.0,79.98877,168.83765,3503.0,0.0,0.0,118.006836,131.65845,3158.0,0.0,0.0,179.81592,108.528564,2428.0,0.0,0.0,176.52734,113.03296,1240.0,1.0,1.0,86.752686,162.19604,1112.0,0.0,0.0,push,0
15,124.2542238,34.247306565559064,126.4785896,26.28367494699124,24085,3,3,0,0,23,9,11635,12450,-815,815,164.03882,68.48413,3037.0,0.0,1.0,133.59326,126.05835,3360.0,0.0,0.0,79.701904,154.72241,2521.0,0.0,1.0,140.94849,130.84229,1358.0,0.0,0.0,138.42749,128.70386,1359.0,1.0,0.0,77.47583,153.0271,3917.0,1.0,0.0,100.94653,142.07593,3239.0,0.0,0.0,168.30835,95.53784,2770.0,0.0,0.0,148.74756,127.656006,1235.0,1.0,1.0,90.354004,137.67798,1289.0,0.0,0.0,gang,0
16,127.7832275,26.600932082868063,125.9557614,28.92907942473117,25168,3,3,0,0,23,9,12179,12989,-810,810,172.40332,74.71094,3129.0,0.0,1.0,123.40576,123.341064,3501.0,0.0,0.0,84.793945,161.12451,2732.0,0.0,1.0,119.898926,123.78467,1413.0,0.0,0.0,132.8479,118.980225,1404.0,1.0,0.0,92.72339,170.35742,3947.0,1.0,0.0,125.966064,132.97754,3492.0,0.0,0.0,161.52539,87.620605,2974.0,0.0,0.0,134.74121,131.11914,1280.0,1.0,1.0,129.52637,135.5415,1296.0,0.0,0.0,def,0
17,120.4445558,33.31633515546462,123.51296320000002,31.317900033712792,27293,3,3,0,0,27,8,13051,14242,-1191,1191,154.82056,64.36719,3381.0,0.0,1.0,120.30029,95.381836,3854.0,0.0,0.0,78.826416,151.43286,2963.0,0.0,1.0,102.298584,128.7622,1408.0,0.0,0.0,118.97339,118.82251,1445.0,1.0,0.0,78.11865,163.13306,4325.0,1.0,0.0,125.096924,126.600586,3738.0,0.0,0.0,178.01172,97.0061,3221.0,0.0,0.0,152.2146,128.69531,1513.0,1.0,1.0,95.784424,160.92798,1445.0,0.0,0.0,farm,0
18,131.957715,34.771665136737816,112.0953375,32.25077836206227,28955,3,3,0,0,27,8,13835,15120,-1285,1285,164.9148,78.141846,3397.0,0.0,1.0,112.69043,102.653564,4224.0,0.0,0.0,86.33984,157.82495,3141.0,0.0,1.0,101.88501,127.60498,1453.0,0.0,0.0,119.95166,119.67334,1620.0,1.0,0.0,171.54614,79.863525,4481.0,1.0,0.0,146.79468,128.21533,4073.0,0.0,0.0,168.86572,79.3418,3476.0,0.0,0.0,161.99219,84.55176,1600.0,1.0,1.0,84.59668,163.08228,1490.0,0.0,0.0,farm,0
19,129.93930740000002,29.45385178803232,110.4704604,35.859503734454385,30589,5,5,0,0,27,8,14216,16373,-2157,2157,163.69385,77.8833,3357.0,0.0,2.0,120.73462,120.75,4446.0,0.0,0.0,90.80298,161.4126,3315.0,0.0,1.0,142.3042,71.01416,1398.0,0.0,1.0,108.02905,127.57178,1700.0,1.0,0.0,167.02295,82.65137,4661.0,1.0,0.0,123.608154,123.52344,4273.0,0.0,0.0,147.49854,78.947754,3977.0,2.0,0.0,152.51294,90.33252,1808.0,1.0,1.0,83.18579,170.61768,1654.0,0.0,0.0,gang,0
20,120.6669185,29.333288322063765,122.8092036,36.85361197048218,32907,5,5,0,1,29,8,15107,17800,-2693,2693,109.8728,65.0813,3526.0,0.0,2.0,119.62085,120.687256,4825.0,0.0,0.0,105.07031,163.54028,3618.0,0.0,1.0,100.151855,123.50659,1443.0,0.0,1.0,130.11841,110.09277,1695.0,1.0,0.0,80.93872,174.9751,4959.0,1.0,0.0,155.24341,124.17285,4607.0,0.0,0.0,171.02441,85.37329,4283.0,2.0,0.0,145.06934,92.72998,1945.0,1.0,1.0,89.55908,167.93262,2006.0,0.0,0.0,push,0
21,119.6790268,24.370314304521685,127.99868080000002,23.67918239159402,34460,5,5,0,1,30,10,15914,18546,-2632,2632,115.40405,98.201904,3723.0,0.0,2.0,126.71118,127.083984,4997.0,0.0,0.0,104.31201,135.40234,3966.0,0.0,1.0,104.48657,126.22217,1488.0,0.0,1.0,118.729004,123.77319,1740.0,1.0,0.0,82.10083,169.18481,5338.0,1.0,0.0,135.45947,131.84644,4652.0,0.0,0.0,160.25732,88.72998,4566.0,2.0,0.0,151.61084,123.16504,1978.0,1.0,1.0,97.718994,156.37695,2012.0,0.0,0.0,farm,0
